Frage 1 (Basis)<br>Was ist zu tun, wenn vor Antritt der Fahrt nicht feststeht, wer Schiffsführer ist?<br><br>A. Der verantwortliche Schiffsführer muss bestimmt werden.<br>B. Ein Inhaber eines Sportbootführerscheins muss die Fahrzeugführung übernehmen.<br>C. Ein Inhaber eines Sportbootführerscheins muss die Verantwortung übernehmen.<br>D. Der verantwortliche Schiffsführer muss gewählt werden.<br>	A. Der verantwortliche Schiffsführer muss bestimmt werden.
Frage 2 (Basis)<br>In welchen Fällen darf weder ein Sportboot geführt noch dessen Kurs oder Geschwindigkeit selbstständig bestimmt werden?<br><br>A. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.<br>B. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 1,0 ‰ oder mehr im Körper vorhanden ist.<br>C. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,3 ‰ oder mehr im Körper vorhanden ist.<br>D. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,8 ‰ oder mehr im Körper vorhanden ist.<br>	A. Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.
Frage 3 (Basis)<br>Wann ist ein Fahrzeug in Fahrt?<br><br>A. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch Fahrt über Grund macht.<br>B. Wenn es weder auf Grund sitzt noch vor Anker liegt noch manövrierbehindert oder manövrierunfähig ist.<br>C. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.<br>D. Wenn es weder an Land festgemacht ist noch vor Anker liegt noch Fahrt durchs Wasser macht.<br>	C. Wenn es weder vor Anker liegt noch an Land festgemacht ist noch auf Grund sitzt.
Frage 4 (Basis)<br>Wie lang ist die Dauer eines kurzen Tons (<br><img src="q4_1.jpg"><br><br>A. Etwa 1 Sekunde.<br>B. Weniger als 4 Sekunden.<br>C. Etwa 2 Sekunden.<br>D. Weniger als 1 Sekunde.<br>	A. Etwa 1 Sekunde.
Frage 5 (Basis)<br>Wie lang ist die Dauer eines langen Tons (<br><img src="q5_1.jpg"><br><br>A. Etwa 2 - 6 Sekunden.<br>B. Etwa 6 - 8 Sekunden.<br>C. Etwa 4 - 6 Sekunden.<br>D. Etwa 1 - 2 Sekunden.<br>	C. Etwa 4 - 6 Sekunden.
Frage 6 (Basis)<br>Wann gilt ein Fahrzeug unter Segel als Maschinenfahrzeug?<br><br>A. Wenn es durch das Segeln keine Fahrt durchs Wasser macht.<br>B. Wenn es gleichzeitig mit Maschinenkraft fährt.<br>C. Wenn es durch das Segeln keine Fahrt über Grund macht.<br>D. Wenn es mit einer Antriebsmaschine ausgerüstet ist.<br>	B. Wenn es gleichzeitig mit Maschinenkraft fährt.
Frage 7 (Basis)<br>Welches Signal führt ein Fahrzeug unter Segel, das als Maschinenfahrzeug gilt, zusätzlich am Tage?<br><br>A. Einen schwarzen Kegel, Spitze unten.<br>B. Einen schwarzen Kegel, Spitze oben.<br>C. Zwei schwarze Bälle senkrecht übereinander.<br>D. Einen schwarzen Rhombus.<br>	A. Einen schwarzen Kegel, Spitze unten.
Frage 8 (Basis)<br>Welche Seite wird als Luvseite bezeichnet?<br><br>A. Die dem Wind abgewandte Seite.<br>B. Die Seite in Fahrtrichtung links.<br>C. Die Seite in Fahrtrichtung rechts.<br>D. Die dem Wind zugekehrte Seite.<br>	D. Die dem Wind zugekehrte Seite.
Frage 9 (Basis)<br>Welche Seite wird als Leeseite bezeichnet?<br><br>A. Die Seite in Fahrtrichtung links.<br>B. Die Seite in Fahrtrichtung rechts.<br>C. Die dem Wind abgewandte Seite.<br>D. Die dem Wind zugekehrte Seite.<br>	C. Die dem Wind abgewandte Seite.
Frage 10 (Basis)<br>Wann müssen die Lichter von Fahrzeugen geführt oder gezeigt werden?<br><br>A. Von abends 18:00 Uhr bis morgens 06:00 Uhr und bei verminderter Sicht.<br>B. Von Sonnenaufgang bis Sonnenuntergang und bei verminderter Sicht.<br>C. Bei Dunkelheit, schlechtem Wetter und verminderter Sicht.<br>D. Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.<br>	D. Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.
